index, time, nl42, nl42_err, l42, <n>42, <n>42_err, <n>V, <n>V_err, <T>V, <T>V_err, We, We_err, dWe/dt, vol, T_center, T_c_err, n_center, n_c_err, T_peaking, n_peaking, R_sep, nl_eq, nl_eq_err, len_eq, <n>eq, <n>eq_err, T_max_measured, T_max_err, n_max_measured, n_max_err
1, ms, m-2, m-2, m, m-3, m-3, m-3, m-3, eV, eV, J, J, kW, m3, eV, eV, m-3, m-3, 1, 1, cm, m-2, m-2, m, m-3, m-3, eV, eV, m-3, m-3
40, 121.9, 6.31e+18, 3.31e+17, 0.83, 7.62e+18, 3.99e+17, 8.00e+18, 4.96e+17, 46.26, 5.96, 66, 9, -6, 0.754, 45.93, 2.84, -5.35e+18, 5.46e+17, 0.993, -0.669, 59.73, 7.92e+18, 3.67e+17, 1.16, 6.83e+18, 3.16e+17, 2.105e+01, 1.639e+00, 5.956e+18, 2.331e+17
41, 125.0, 6.07e+18, 3.45e+17, 0.88, 6.90e+18, 3.93e+17, 4.55e+18, 4.59e+17, 27.16, 3.82, 47, 3, 7, 0.824, 45.09, 4.93, 1.85e+19, 5.63e+17, 1.660, 4.060, 60.71, 9.02e+18, 3.76e+17, 1.17, 7.73e+18, 3.22e+17, 5.582e+01, 1.994e+00, 1.407e+19, 3.251e+17
42, 128.0, 9.19e+18, 3.44e+17, 0.82, 1.12e+19, 4.21e+17, 8.70e+18, 4.75e+17, 53.46, 5.16, 114, 8, 26, 0.728, 125.41, 11.06, 2.09e+19, 6.20e+17, 2.346, 2.405, 59.54, 1.33e+19, 4.06e+17, 1.14, 1.16e+19, 3.55e+17, 1.518e+02, 6.388e+00, 2.008e+19, 3.580e+17
43, 131.0, 1.12e+19, 2.86e+17, 0.68, 1.65e+19, 4.23e+17, 1.34e+19, 4.52e+17, 92.86, 5.08, 208, 10, 32, 0.569, 213.42, 10.98, 2.76e+19, 7.15e+17, 2.298, 2.064, -1.00, 1.71e+19, 3.69e+17, 1.10, 1.56e+19, 3.36e+17, 2.201e+02, 6.342e+00, 2.719e+19, 4.131e+17
44, 134.1, 1.51e+19, 3.19e+17, 0.67, 2.26e+19, 4.77e+17, 1.81e+19, 5.07e+17, 100.36, 4.21, 314, 12, 25, 0.564, 324.44, 12.31, 4.88e+19, 8.44e+17, 3.233, 2.694, 57.41, 2.29e+19, 4.34e+17, 1.10, 2.09e+19, 3.96e+17, 2.775e+02, 7.105e+00, 3.891e+19, 4.871e+17
45, 137.1, 1.58e+19, 3.17e+17, 0.67, 2.36e+19, 4.74e+17, 1.77e+19, 4.94e+17, 108.18, 4.64, 362, 14, 49, 0.565, 302.81, 12.84, 7.59e+19, 9.21e+17, 2.799, 4.283, 57.53, 2.40e+19, 4.41e+17, 1.10, 2.18e+19, 4.00e+17, 3.410e+02, 6.466e+00, 4.591e+19, 5.315e+17
46, 140.2, 1.99e+19, 3.54e+17, 0.70, 2.86e+19, 5.08e+17, 2.15e+19, 5.35e+17, 145.09, 5.62, 616, 20, 65, 0.593, 406.95, 12.55, 1.26e+20, 9.70e+17, 2.805, 5.874, 57.97, 2.85e+19, 4.95e+17, 1.11, 2.57e+19, 4.46e+17, 3.875e+02, 7.074e+00, 5.173e+19, 5.600e+17
47, 143.2, 2.05e+19, 3.73e+17, 0.71, 2.89e+19, 5.26e+17, 1.94e+19, 5.54e+17, 159.80, 7.03, 761, 22, 47, 0.596, 298.08, 13.58, 2.00e+19, 9.72e+17, 1.865, 1.031, 58.97, 2.83e+19, 5.18e+17, 1.13, 2.51e+19, 4.58e+17, 4.257e+02, 7.840e+00, 5.163e+19, 5.482e+17
48, 146.2, 2.25e+19, 3.81e+17, 0.68, 3.29e+19, 5.59e+17, 2.37e+19, 5.97e+17, 185.28, 7.36, 907, 29, 54, 0.586, 295.61, 17.30, 2.58e+19, 1.05e+18, 1.595, 1.088, 58.90, 3.39e+19, 5.66e+17, 1.13, 3.00e+19, 5.02e+17, 5.306e+02, 9.867e+00, 5.756e+19, 5.790e+17
