R, 0.1189s, 0.1189s, 0.1219s, 0.1219s, 0.1250s, 0.1250s, 0.1280s, 0.1280s, 0.1310s, 0.1310s, 0.1341s, 0.1341s, 0.1371s, 0.1371s, 0.1402s, 0.1402s, 0.1432s, 0.1432s, 0.1462s, 0.1462s, 0.1492s, 0.1492s, 0.1523s, 0.1523s, 0.1553s, 0.1553s, 0.1584s, 0.1584s, 0.1614s, 0.1614s, 0.1644s, 0.1644s, 0.1675s, 0.1675s, 0.1705s, 0.1705s, 0.1735s, 0.1735s, 0.1766s, 0.1766s, 0.1796s, 0.1796s, 0.1826s, 0.1826s, 0.1857s, 0.1857s, 0.1887s, 0.1887s, 0.1917s, 0.1917s, 0.1948s, 0.1948s, 0.1978s, 0.1978s, 0.2008s, 0.2008s
0.5605, 5.70e+12, 3.87e+11, 6.88e+12, 3.84e+11, 4.35e+12, 3.45e+11, 7.07e+12, 4.09e+11, 9.09e+12, 4.42e+11, 1.38e+13, 5.31e+11, 1.21e+13, 5.07e+11, 1.42e+13, 5.26e+11, 9.14e+12, 4.25e+11, 1.69e+13, 5.49e+11, 1.50e+13, 5.20e+11, 1.67e+13, 5.38e+11, 1.59e+13, 5.24e+11, 1.77e+13, 5.53e+11, 1.71e+13, 5.41e+11, 2.22e+13, 6.05e+11, 2.28e+13, 6.13e+11, 2.49e+13, 6.32e+11, 2.58e+13, 6.42e+11, 2.24e+13, 6.14e+11, 2.50e+13, 6.47e+11, 2.13e+13, 5.93e+11, 2.69e+13, 6.57e+11, 2.56e+13, 6.52e+11, 2.41e+13, 6.38e+11, 2.58e+13, 6.46e+11, 2.18e+13, 6.15e+11, 2.20e+13, 6.20e+11
0.5500, 5.41e+12, 3.88e+11, 8.84e+12, 4.33e+11, 6.00e+12, 3.85e+11, 8.30e+12, 4.18e+11, 1.10e+13, 4.61e+11, 1.32e+13, 5.16e+11, 1.18e+13, 4.84e+11, 1.51e+13, 5.29e+11, 1.39e+13, 5.07e+11, 1.66e+13, 5.39e+11, 1.87e+13, 5.62e+11, 2.04e+13, 5.92e+11, 1.88e+13, 5.62e+11, 1.89e+13, 5.69e+11, 2.09e+13, 5.90e+11, 2.32e+13, 6.17e+11, 2.81e+13, 6.59e+11, 2.71e+13, 6.62e+11, 2.83e+13, 6.53e+11, 2.82e+13, 6.79e+11, 2.87e+13, 6.79e+11, 2.82e+13, 6.64e+11, 3.27e+13, 7.12e+11, 3.33e+13, 7.41e+11, 2.85e+13, 6.84e+11, 3.11e+13, 7.01e+11, 2.96e+13, 6.90e+11, 2.58e+13, 6.55e+11
0.5295, 5.94e+12, 3.08e+11, 6.53e+12, 2.65e+11, 9.13e+12, 3.17e+11, 8.98e+12, 3.10e+11, 1.36e+13, 3.53e+11, 1.72e+13, 3.83e+11, 1.58e+13, 3.71e+11, 1.85e+13, 3.83e+11, 2.27e+13, 4.14e+11, 2.26e+13, 4.14e+11, 2.23e+13, 4.07e+11, 2.70e+13, 4.47e+11, 2.42e+13, 4.25e+11, 2.79e+13, 4.53e+11, 2.50e+13, 4.30e+11, 3.22e+13, 4.71e+11, 3.40e+13, 4.86e+11, 3.73e+13, 5.06e+11, 3.54e+13, 4.96e+11, 3.86e+13, 5.23e+11, 4.17e+13, 5.37e+11, 4.07e+13, 5.29e+11, 4.29e+13, 5.45e+11, 4.62e+13, 5.72e+11, 4.15e+13, 5.38e+11, 3.94e+13, 5.23e+11, 4.00e+13, 5.30e+11, 4.00e+13, 5.29e+11
0.5050, 6.05e+12, 2.58e+11, 9.42e+12, 2.84e+11, 1.07e+13, 2.98e+11, 1.40e+13, 3.35e+11, 1.64e+13, 3.60e+11, 2.20e+13, 4.13e+11, 2.24e+13, 4.17e+11, 2.49e+13, 4.39e+11, 3.16e+13, 4.86e+11, 3.26e+13, 4.89e+11, 3.37e+13, 4.99e+11, 3.70e+13, 5.25e+11, 3.32e+13, 4.99e+11, 3.75e+13, 5.25e+11, 3.46e+13, 5.02e+11, 4.28e+13, 5.54e+11, 4.46e+13, 5.62e+11, 5.01e+13, 5.98e+11, 4.85e+13, 5.89e+11, 5.49e+13, 6.32e+11, 5.75e+13, 6.41e+11, 5.53e+13, 6.27e+11, 5.71e+13, 6.42e+11, 6.16e+13, 6.74e+11, 6.19e+13, 6.63e+11, 5.53e+13, 6.38e+11, 5.84e+13, 6.48e+11, 6.01e+13, 6.56e+11
0.4810, 5.55e+12, 2.47e+11, 8.67e+12, 2.80e+11, 1.44e+13, 3.27e+11, 1.90e+13, 3.64e+11, 2.12e+13, 3.84e+11, 2.58e+13, 4.20e+11, 2.80e+13, 4.37e+11, 3.37e+13, 4.69e+11, 3.84e+13, 4.99e+11, 4.10e+13, 5.12e+11, 4.26e+13, 5.22e+11, 4.50e+13, 5.34e+11, 4.28e+13, 5.16e+11, 4.90e+13, 5.53e+11, 4.44e+13, 5.27e+11, 5.31e+13, 5.70e+11, 5.27e+13, 5.74e+11, 5.95e+13, 6.08e+11, 5.37e+13, 5.80e+11, 6.07e+13, 6.15e+11, 6.73e+13, 6.57e+11, 6.64e+13, 6.40e+11, 6.51e+13, 6.48e+11, 7.56e+13, 7.04e+11, 7.34e+13, 6.79e+11, 6.93e+13, 6.55e+11, 6.57e+13, 6.36e+11, 7.01e+13, 6.56e+11
0.4575, 5.69e+12, 2.42e+11, 9.79e+12, 3.15e+11, 1.50e+13, 3.46e+11, 2.11e+13, 3.94e+11, 2.37e+13, 4.13e+11, 3.03e+13, 4.63e+11, 3.09e+13, 4.63e+11, 3.88e+13, 5.15e+11, 4.16e+13, 5.37e+11, 4.80e+13, 5.64e+11, 4.78e+13, 5.66e+11, 5.46e+13, 5.94e+11, 4.84e+13, 5.69e+11, 5.38e+13, 5.95e+11, 4.83e+13, 5.61e+11, 5.61e+13, 6.04e+11, 5.55e+13, 5.98e+11, 5.89e+13, 6.31e+11, 5.02e+13, 5.94e+11, 5.78e+13, 6.23e+11, 6.42e+13, 6.54e+11, 6.35e+13, 6.53e+11, 6.24e+13, 6.42e+11, 6.99e+13, 6.89e+11, 7.21e+13, 6.93e+11, 6.94e+13, 6.77e+11, 6.45e+13, 6.54e+11, 7.31e+13, 6.85e+11
0.4340, 5.27e+12, 2.11e+11, 6.56e+12, 2.33e+11, 1.48e+13, 3.25e+11, 2.05e+13, 3.55e+11, 2.68e+13, 4.04e+11, 3.45e+13, 4.52e+11, 3.69e+13, 4.63e+11, 4.34e+13, 5.01e+11, 5.02e+13, 5.36e+11, 5.52e+13, 5.56e+11, 5.80e+13, 5.67e+11, 6.35e+13, 5.89e+11, 5.82e+13, 5.64e+11, 5.99e+13, 5.73e+11, 5.17e+13, 5.30e+11, 6.31e+13, 5.87e+11, 5.69e+13, 5.56e+11, 6.44e+13, 5.98e+11, 5.36e+13, 5.49e+11, 6.27e+13, 5.91e+11, 6.98e+13, 6.22e+11, 6.73e+13, 6.09e+11, 6.29e+13, 5.96e+11, 7.63e+13, 6.47e+11, 7.39e+13, 6.41e+11, 6.93e+13, 6.28e+11, 6.45e+13, 6.05e+11, 7.76e+13, 6.51e+11
0.4120, 4.54e+12, 2.03e+11, 5.43e+12, 2.16e+11, 1.34e+13, 3.13e+11, 1.97e+13, 3.58e+11, 2.77e+13, 4.13e+11, 3.87e+13, 4.77e+11, 4.45e+13, 5.08e+11, 4.99e+13, 5.36e+11, 5.32e+13, 5.48e+11, 6.02e+13, 5.79e+11, 6.49e+13, 6.01e+11, 7.43e+13, 6.40e+11, 6.49e+13, 5.94e+11, 6.31e+13, 5.88e+11, 5.10e+13, 5.27e+11, 6.54e+13, 5.99e+11, 5.71e+13, 5.62e+11, 6.51e+13, 5.97e+11, 5.26e+13, 5.46e+11, 6.15e+13, 5.90e+11, 6.96e+13, 6.26e+11, 6.94e+13, 6.20e+11, 6.31e+13, 5.99e+11, 7.48e+13, 6.54e+11, 7.59e+13, 6.56e+11, 6.82e+13, 6.20e+11, 6.66e+13, 6.07e+11, 8.17e+13, 6.72e+11
0.3915, 3.83e+12, 1.87e+11, 5.49e+12, 2.16e+11, 9.29e+12, 2.59e+11, 1.69e+13, 3.30e+11, 2.67e+13, 4.05e+11, 3.91e+13, 4.87e+11, 4.75e+13, 5.31e+11, 5.37e+13, 5.60e+11, 5.44e+13, 5.61e+11, 6.42e+13, 6.07e+11, 6.33e+13, 6.03e+11, 7.60e+13, 6.54e+11, 6.45e+13, 6.09e+11, 6.12e+13, 5.91e+11, 5.08e+13, 5.38e+11, 6.31e+13, 5.99e+11, 5.70e+13, 5.67e+11, 5.99e+13, 5.81e+11, 5.16e+13, 5.49e+11, 6.03e+13, 5.90e+11, 6.70e+13, 6.18e+11, 6.68e+13, 6.22e+11, 6.11e+13, 6.05e+11, 7.18e+13, 6.48e+11, 7.42e+13, 6.56e+11, 6.78e+13, 6.31e+11, 6.50e+13, 6.16e+11, 7.52e+13, 6.54e+11
0.3710, 3.95e+12, 1.93e+11, 4.88e+12, 2.13e+11, 7.92e+12, 2.31e+11, 1.52e+13, 3.14e+11, 2.66e+13, 4.00e+11, 4.04e+13, 4.86e+11, 4.80e+13, 5.27e+11, 5.33e+13, 5.53e+11, 5.50e+13, 5.56e+11, 6.04e+13, 5.84e+11, 6.38e+13, 5.92e+11, 7.37e+13, 6.36e+11, 6.95e+13, 6.12e+11, 6.49e+13, 5.97e+11, 5.10e+13, 5.32e+11, 6.41e+13, 5.93e+11, 5.42e+13, 5.50e+11, 5.72e+13, 5.58e+11, 5.50e+13, 5.52e+11, 6.07e+13, 5.80e+11, 6.60e+13, 6.07e+11, 6.50e+13, 6.01e+11, 6.09e+13, 5.89e+11, 7.47e+13, 6.43e+11, 7.18e+13, 6.33e+11, 6.74e+13, 6.16e+11, 6.42e+13, 6.06e+11, 7.42e+13, 6.42e+11
